,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
0,2818,1.0,True,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,2,1,2,4,49.0,3,28,True,3,4,4.47,True,24.5,147.0,0.08,0.1,0.14,0.99,0.20821917808219179,346.90410958904107
1,20168,0.72,False,Centrum-Oost,52.36407,4.89393,Private room,2,1,1,7,106.0,1,365,True,0,0,4.44,True,53.0,106.0,0.08,0.16,0.2,4.99,0.0,528.4931506849315
2,27886,1.0,True,Centrum-West,52.38761,4.89188,Private room,2,1,1,12,126.0,2,356,True,0,0,4.94,True,63.0,252.0,0.06,0.1,0.21,4.99,0.0,632.1232876712329
3,28871,1.0,True,Centrum-West,52.36775,4.89092,Private room,2,1,1,4,75.0,2,1825,True,1,8,4.88,False,37.5,150.0,0.06,0.15,0.14,4.99,0.4273972602739726,375.26027397260276
4,29051,1.0,True,Centrum-Oost,52.36584,4.89111,Private room,1,1,1,1,55.0,2,730,True,4,6,4.36,False,55.0,110.0,0.05,0.13,0.17,2.99,0.3863013698630137,275.0
5,44391,0.6699999999999999,False,Centrum-Oost,52.37168,4.91471,Entire home/apt,4,2,2,1,240.0,3,730,True,0,0,4.71,False,60.0,720.0,0.09,0.17,0.29,4.99,0.0,1200.0
6,49552,0.92,True,Centrum-West,52.38028,4.89089,Entire home/apt,3,2,2,5,232.0,3,1125,True,0,8,4.91,False,77.33,696.0,0.1,0.25,0.25,4.99,0.46301369863013697,1162.4657534246576
7,50523,0.58,False,Centrum-West,52.36811,4.88262,Private room,2,1,1,8,118.0,2,365,True,3,3,4.87,False,59.0,236.0,0.06,0.12,0.17,4.99,0.6465753424657534,601.5753424657535
8,55709,0.19000000000000006,False,Centrum-Oost,52.358112,4.897637,Entire home/apt,2,1,1,5,151.0,3,30,True,0,0,4.95,False,75.5,453.0,0.09,0.19,0.24,4.99,0.0027397260273972603,818.6849315068494
9,55868,0.0,False,Zuid,52.35597,4.88512,Entire home/apt,4,2,2,1,149.0,4,21,True,0,0,4.86,False,37.25,596.0,0.06,0.14,0.18,4.99,0.0,749.2191780821918
10,62015,0.8300000000000001,False,Oud-Oost,52.36431,4.93122,Entire home/apt,2,1,1,4,120.0,2,6,True,0,0,4.91,False,60.0,240.0,0.06,0.22,0.2,4.99,0.4246575342465753,600.0
11,80635,0.87,True,Centrum-West,52.37828,4.8944,Private room,1,1,1,1,82.0,3,1125,True,0,0,4.77,True,82.0,246.0,0.05,0.11,0.15,4.99,0.0,409.24657534246575
12,82482,0.94,True,Centrum-West,52.36968,4.88122,Entire home/apt,4,2,2,8,109.0,2,28,True,4,6,4.49,False,27.25,218.0,0.05,0.19,0.18,4.99,0.6191780821917808,577.7260273972603
13,91535,0.9500000000000001,True,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,2,1,1,7,145.0,1,18,True,8,6,4.84,True,72.5,145.0,0.07,0.1,0.16,4.99,0.15342465753424658,687.8082191780821
14,97221,1.0,True,Slotervaart,52.34801,4.83639,Private room,2,1,2,1,64.0,2,8,True,2,4,3.9,False,32.0,128.0,0.05,0.09,0.17,2.99,0.810958904109589,276.43835616438355
15,97476,0.78,False,Zuid,52.35665,4.86363,Entire home/apt,2,1,1,10,115.0,14,30,True,0,0,4.89,False,57.5,1610.0,0.07,0.14,0.18,4.99,0.0,575.0
16,137026,0.14,False,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,4,2,4,11,265.0,2,1125,True,0,0,4.77,False,66.25,530.0,0.13,0.25,0.27,4.99,0.18904109589041096,1328.5205479452054
17,162467,0.46,False,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,2,1,1,4,175.0,3,21,True,0,0,4.75,False,87.5,525.0,0.06,0.14,0.19,4.99,0.4328767123287671,761.7123287671233
18,168769,0.65,True,Centrum-West,52.37956,4.89359,Private room,1,1,1,3,88.0,3,1124,True,0,0,4.58,True,88.0,264.0,0.04,0.07,0.18,4.99,0.0,439.24657534246575
19,169356,0.44000000000000006,False,Centrum-West,52.38104,4.88306,Entire home/apt,2,1,1,11,195.0,7,7,True,0,0,5.0,False,97.5,1365.0,0.06,0.13,0.21,4.99,0.1780821917808219,975.0
20,179528,1.0,False,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,3,2,2,10,270.0,21,100,True,6,0,4.5,True,90.0,5670.0,0.08,0.21,0.28,4.99,0.1506849315068493,1476.164383561644
21,188347,0.77,False,De Baarsjes - Oud-West,52.3683,4.85446,Private room,2,1,1,3,111.0,1,6,True,4,0,4.65,False,55.5,111.0,0.07,0.12,0.19,4.99,0.1178082191780822,481.64383561643837
22,189754,1.0,True,Centrum-West,52.37548,4.89398,Entire home/apt,4,2,3,4,170.0,2,1125,True,3,7,4.77,True,42.5,340.0,0.09,0.17,0.14,4.99,0.43561643835616437,992.1780821917808
23,193038,1.0,True,Centrum-Oost,52.36057,4.89671,Private room,2,1,1,4,121.0,3,31,True,2,5,4.96,True,60.5,363.0,0.07,0.15,0.18,4.99,0.2054794520547945,600.0
